epoch,learning_rate,step,test_auc,test_loss,train_loss,val_auc,val_loss
27,,28811,,,,0.7211964726448059,0.09390465915203094
27,0.00013181427493691444,28811,,,0.1300390362739563,,
28,,29840,,,,0.7045395970344543,0.08518211543560028
28,0.00012785893341060728,29840,,,0.12926100194454193,,
29,,30869,,,,0.7564024925231934,0.0910448431968689
29,0.0001240223937202245,30869,,,0.12721684575080872,,
30,,31898,,,,0.6649856567382812,0.0898691788315773
30,0.00012030302605126053,31898,,,0.1262272298336029,,
31,,32927,,,,0.708324134349823,0.08608650416135788
31,0.00011669245577650145,32927,,,0.12576910853385925,,
32,,33956,,,,0.6913917064666748,0.08807846158742905
32,0.0001131911194534041,33956,,,0.12405051290988922,,
33,,34985,,,,0.7456734776496887,0.09257876127958298
33,0.00010979753278661519,34985,,,0.12361511588096619,,
34,,36014,,,,0.6940065622329712,0.0860854908823967
34,0.00010650394688127562,36014,,,0.1215086579322815,,
35,,37043,,,,0.6891932487487793,0.08907722681760788
35,0.00010330807708669454,37043,,,0.12056571990251541,,
36,,38072,,,,0.7325592637062073,0.08494365960359573
36,0.00010020860645454377,38072,,,0.12004490196704865,,
37,,39101,,,,0.691413164138794,0.08533428609371185
37,9.72008565440774e-05,39101,,,0.11947587877511978,,
38,,40130,,,,0.7385055422782898,0.08522631227970123
38,9.428663179278374e-05,40130,,,0.11882193386554718,,
39,,41159,,,,0.6983912587165833,0.08636519312858582
39,9.145646617980674e-05,41159,,,0.11628011614084244,,
40,,42188,,,,0.7132232189178467,0.08888120949268341
40,8.871401951182634e-05,42188,,,0.1170683205127716,,
41,,43217,,,,0.6625943183898926,0.09814724326133728
41,8.605222683399916e-05,43217,,,0.11705285310745239,,
42,,44246,,,,0.7661577463150024,0.08600924164056778
42,8.346953836735338e-05,44246,,,0.11505727469921112,,
43,,45275,,,,0.7568280696868896,0.08544477075338364
43,8.096599776763469e-05,45275,,,0.11491744965314865,,
44,,46304,,,,0.7142336368560791,0.08880417048931122
44,7.853711576899514e-05,46304,,,0.11312223225831985,,
45,,47333,,,,0.7844313383102417,0.08062829822301865
45,7.61820119805634e-05,47333,,,0.11267853528261185,,
46,,48362,,,,0.7309946417808533,0.08260340988636017
46,7.389544771285728e-05,48362,,,0.11169140785932541,,
47,,49391,,,,0.7673121094703674,0.07998981326818466
47,7.167907460825518e-05,49391,,,0.1116972267627716,,
48,,50420,,,,0.7374124526977539,0.0841340720653534
48,6.952881085453555e-05,50420,,,0.11139299720525742,,
49,,51449,,,,0.7790790796279907,0.07785814255475998
49,6.744269921910018e-05,51449,,,0.11004713922739029,,
50,,51450,0.750288724899292,0.12033267319202423,,,
